EpochTime, CurrentBufferSize, Bitrate, DownloadRate, state
0.200850009918,1,89283,10465.0145076,1
0.555835008621,1,334349,71734.6672616,1
2.27656412125,1,178351,46988.946208,2
3.77668213844,2,178351,32162.348368,3
4.71280312538,2,178351,52793.2518024,3
6.17263007164,3,178351,34252.695067,3
7.99665808678,3,178351,27004.9676846,3
9.55274200439,3,178351,26143.7274715,3
10.3485350609,3,334349,60569.3086588,3
12.1609799862,4,334349,39727.9374855,3
13.6697511673,4,334349,38906.5231621,3
14.5807261467,4,595491,72415.8883218,3
17.1487519741,4,595491,40690.3204999,3
21.7566511631,3,334349,37176.9325019,3
23.5246150494,3,334349,54355.5976631,3
26.492565155,2,178351,32478.2739284,3
27.3526411057,3,334349,57358.4118466,3
29.2806110382,3,334349,47930.7341739,3
32.2059440613,3,334349,31455.9814386,3
35.6606769562,2,178351,28017.0951598,3
36.7286429405,2,178351,46471.8707275,3
37.8367750645,3,262537,44459.0719061,3
40.016782999,3,262537,32998.1531467,3
41.6748609543,3,262537,44433.8000682,3
43.9727950096,3,262537,31977.8616939,3
46.2368171215,3,262537,31111.6969053,3
48.5646910667,2,178351,30776.215735,3
49.9727261066,3,178351,30750.1649135,3
50.8447179794,3,334349,57274.4447407,3
52.6173660755,3,334349,32894.182982,3
53.8928601742,4,334349,40571.8852704,3
55.4407520294,4,334349,43453.9521476,3
57.8971421719,4,334349,29799.3482006,3
59.8167600632,4,334349,41171.9589194,3
62.0768530369,4,334349,41797.4879788,3
64.8767311573,3,334349,34135.4589593,3
67.0007519722,3,334349,26460.2884182,3
68.964728117,3,334349,30037.0061167,3
72.144726038,3,334349,28770.2163125,3
74.8567099571,2,178351,34202.5771661,3
76.1488211155,3,221600,40251.0358644,3
77.5448520184,3,221600,39279.0153853,3
79.6527659893,3,221600,29094.8530192,3
81.0287811756,3,221600,34864.3255754,3
82.8815410137,3,221600,31938.9489785,3
84.1723501682,4,221600,34745.2185919,3
85.8368811607,4,221600,27622.5342742,3
87.4568011761,4,221600,30617.7987953,3
88.5888020992,4,334349,50777.1699786,3
91.1650259495,4,334349,29749.628259,3
92.8087520599,4,334349,31982.3200414,3
94.908768177,4,334349,35153.959814,3
97.3550701141,4,334349,30756.7434885,3
99.6489369869,4,334349,38379.2311811,3
101.844830036,4,334349,36289.7548337,3
103.800785065,4,334349,37103.842342,3
105.808814049,4,334349,36642.1786979,3
108.600720167,3,334349,33928.0636721,3
111.060781956,3,334349,35764.4178415,3
114.164764166,3,334349,30887.1867608,3
117.080733061,2,178351,31451.4757675,3
118.437114,2,178351,33738.3343941,3
119.800845146,3,178351,35072.239408,3
120.728775024,3,334349,47128.4678654,3
123.216791153,3,334349,35594.5637054,3
125.67279911,3,334349,36379.3451213,3
128.673346043,2,178351,31941.8526319,3
130.176649094,3,178351,30697.4043275,3
131.668740034,3,178351,31064.2500848,3
133.328783035,3,178351,27829.6544432,3
135.052822113,3,178351,28005.3802188,3
136.431873083,3,178351,35625.5495535,3
137.75673914,4,221600,37260.6950667,3
141.396883965,3,221600,35015.4319423,3
142.813402176,3,221600,35483.4732467,3
144.613424063,3,221600,27607.2880671,3
146.244903088,3,221600,32438.7368686,3
148.088850021,4,221600,31439.5541534,3
149.517029047,4,221600,39453.9924171,3
151.444945097,4,221600,30767.8480618,3
153.24940896,4,221600,30423.6765406,3
155.012879133,4,221600,31006.2158443,3
156.612261057,4,221600,34368.9678338,3
158.428822994,4,221600,32315.0143933,3
159.585591078,5,262537,42415.0512132,3
167.353049994,2,178351,27875.5941546,3
168.888859987,2,178351,27103.9901393,3
170.379194975,2,178351,29773.0175161,3
171.744829178,3,178351,33976.2684869,3
173.076784134,3,178351,36544.1580641,3
174.484733105,3,178351,32203.1735218,3
175.521582127,4,334349,45825.5613043,3
178.264829159,3,334349,35077.1020021,3
180.828811169,3,334349,35449.6695307,3
183.972893,3,334349,32716.9856427,3
186.084897995,3,334349,38721.2975931,3
187.364763975,3,334349,29928.2130246,3
189.859444141,3,334349,36117.6388424,3
192.789417982,2,178351,35486.0152779,3
194.340846062,2,178351,26152.3252666,3
195.466602087,3,262537,37694.7179124,3
197.484924078,3,262537,32931.2751447,3
199.840852976,3,262537,26703.3205358,3
201.708858967,3,262537,30487.6901436,3
203.580963135,3,262537,35815.2759046,3
205.513029099,3,262537,35448.0034952,3
207.789577007,3,262537,32265.4704818,3
210.372871161,2,178351,29349.8966653,3
211.737879992,3,178351,34379.9740548,3
213.348888159,3,178351,29303.1008101,3
215.129487038,3,178351,27269.6755911,3
215.873469114,4,595491,56090.2707028,3
217.329115152,4,595491,62979.0296494,3
221.072788,3,334349,32451.1780115,3
223.880922079,3,334349,32270.6294888,3
226.520903111,2,178351,32072.3014694,3
227.75693512,3,178351,28885.4007792,3
228.717370033,3,334349,47765.6898003,3
231.1649611,3,334349,28734.826729,3
233.424841166,3,334349,36239.9871328,3
236.108886957,3,334349,29457.301857,3
237.852993965,3,334349,41878.6995638,3
240.789441109,2,178351,33532.3375404,3
242.376933098,2,178351,29983.3198685,3
244.096951008,3,178351,26839.8418183,3
245.468219042,3,178351,35586.0760916,3
246.996994972,3,178351,26631.3814097,3
248.582483053,3,178351,30508.8897841,3
249.775143147,4,221600,37580.7188868,3
253.361065149,3,221600,32265.3473949,3
254.961682081,3,221600,36905.0758751,3
256.537708044,3,221600,34840.6660512,3
258.288957119,3,221600,29542.8168865,3
260.068534136,4,221600,29795.5520617,3
261.888998985,4,221600,31601.3070879,3
263.493010998,4,221600,38416.1254879,3
265.297039032,4,221600,28836.857547,3
267.136763096,4,221600,33620.6772589,3
268.861027956,4,221600,36350.9552618,3
270.417041063,4,221600,36623.2286257,3
272.165791988,5,221600,32281.8685296,3
273.652294159,5,221600,38735.7378911,3
275.545604944,5,221600,30990.4632367,3
277.241047144,5,221600,33340.3815639,3
278.617144108,5,221600,33203.4748025,3
280.361055136,5,221600,33388.0985012,3
281.365066051,6,334349,49467.7565671,3
291.00101614,2,178351,68776.0644438,3
