EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000102996826172,0,1,INITIAL_BUFFERING,Writing,89283
0.00333380699158,0,1,PLAY,InitialBuffering-Play,0
0.00357484817505,0,0,PLAY,StillPlaying,89283
2.00749278069,2,0,BUFFERING,Play-Buffering,0
9.91984677315,2,1,BUFFERING,Writing,1546902
9.92180800438,2,1,PLAY,Buffering-Play,0
9.92200279236,2,0,PLAY,StillPlaying,1546902
10.8525278568,2,1,PLAY,Writing,262537
11.9477977753,4,0,PLAY,StillPlaying,262537
13.6721019745,5,1,PLAY,Writing,334349
13.9185268879,6,0,PLAY,StillPlaying,334349
13.9977619648,6,1,PLAY,Writing,89283
14.372096777,6,2,PLAY,Writing,89283
15.5880777836,7,3,PLAY,Writing,178351
16.0238099098,8,2,PLAY,StillPlaying,89283
17.088093996,9,3,PLAY,Writing,262537
17.9558088779,10,2,PLAY,StillPlaying,89283
18.8081150055,10,3,PLAY,Writing,262537
19.9678678513,12,2,PLAY,StillPlaying,178351
20.5400578976,12,3,PLAY,Writing,262537
21.9798338413,14,2,PLAY,StillPlaying,262537
22.0400869846,14,3,PLAY,Writing,262537
22.9441299438,15,4,PLAY,Writing,262537
23.9198009968,16,3,PLAY,StillPlaying,262537
24.7880628109,16,4,PLAY,Writing,334349
25.9197888374,18,3,PLAY,StillPlaying,262537
26.9760959148,19,4,PLAY,Writing,334349
27.9198088646,20,3,PLAY,StillPlaying,262537
28.4960889816,20,4,PLAY,Writing,334349
29.9291009903,22,3,PLAY,StillPlaying,262537
31.4607179165,23,4,PLAY,Writing,334349
31.9185547829,24,3,PLAY,StillPlaying,334349
33.9558417797,26,2,PLAY,StillPlaying,334349
34.9880959988,27,3,PLAY,Writing,334349
35.9518208504,28,2,PLAY,StillPlaying,334349
37.1881167889,29,3,PLAY,Writing,334349
37.9597909451,30,2,PLAY,StillPlaying,334349
39.2400839329,31,3,PLAY,Writing,334349
39.9185159206,32,2,PLAY,StillPlaying,334349
41.7641179562,33,3,PLAY,Writing,334349
41.9517948627,34,2,PLAY,StillPlaying,334349
43.9678018093,36,1,PLAY,StillPlaying,334349
44.6521189213,36,2,PLAY,Writing,334349
45.9437918663,38,1,PLAY,StillPlaying,334349
46.3720889091,38,2,PLAY,Writing,178351
47.9197938442,40,1,PLAY,StillPlaying,334349
47.9921329021,40,2,PLAY,Writing,178351
49.324108839,41,3,PLAY,Writing,178351
49.9238770008,42,2,PLAY,StillPlaying,178351
50.3960559368,42,3,PLAY,Writing,178351
51.9558918476,44,2,PLAY,StillPlaying,178351
53.0600810051,45,3,PLAY,Writing,334349
53.9238758087,46,2,PLAY,StillPlaying,178351
55.1200869083,47,3,PLAY,Writing,334349
55.9320168495,48,2,PLAY,StillPlaying,178351
57.8443379402,49,3,PLAY,Writing,334349
57.9277977943,50,2,PLAY,StillPlaying,334349
59.9558138847,52,1,PLAY,StillPlaying,334349
60.5148179531,52,2,PLAY,Writing,334349
61.3680808544,53,3,PLAY,Writing,178351
61.927795887,54,2,PLAY,StillPlaying,334349
62.7024559975,54,3,PLAY,Writing,334349
63.9438889027,56,2,PLAY,StillPlaying,334349
64.5720508099,56,3,PLAY,Writing,334349
65.9757969379,58,2,PLAY,StillPlaying,178351
67.0641098022,59,3,PLAY,Writing,334349
67.9557988644,60,2,PLAY,StillPlaying,334349
69.5481698513,61,3,PLAY,Writing,334349
69.9317939281,62,2,PLAY,StillPlaying,334349
71.9837949276,64,1,PLAY,StillPlaying,334349
72.6840980053,64,2,PLAY,Writing,334349
73.9317917824,66,1,PLAY,StillPlaying,334349
74.0641498566,66,2,PLAY,Writing,178351
75.312048912,67,3,PLAY,Writing,178351
75.9278149605,68,2,PLAY,StillPlaying,334349
76.0640997887,68,3,PLAY,Writing,178351
77.975812912,70,2,PLAY,StillPlaying,178351
78.7040998936,70,3,PLAY,Writing,334349
79.9237868786,72,2,PLAY,StillPlaying,178351
81.463862896,73,3,PLAY,Writing,334349
81.9237759113,74,2,PLAY,StillPlaying,178351
83.9185419083,76,1,PLAY,StillPlaying,334349
84.8041517735,76,2,PLAY,Writing,334349
85.9439458847,78,1,PLAY,StillPlaying,334349
86.4361698627,78,2,PLAY,Writing,178351
87.732134819,79,3,PLAY,Writing,178351
87.9198009968,80,2,PLAY,StillPlaying,334349
88.8641629219,80,3,PLAY,Writing,221600
89.9719138145,82,2,PLAY,StillPlaying,178351
91.4841029644,83,3,PLAY,Writing,262537
91.9357998371,84,2,PLAY,StillPlaying,178351
92.7401769161,84,3,PLAY,Writing,262537
93.9278128147,86,2,PLAY,StillPlaying,221600
94.4080858231,86,3,PLAY,Writing,262537
95.9484097958,88,2,PLAY,StillPlaying,262537
96.1561059952,88,3,PLAY,Writing,262537
97.9358048439,90,2,PLAY,StillPlaying,262537
98.0561239719,90,3,PLAY,Writing,262537
99.8161129951,91,4,PLAY,Writing,262537
99.9397850037,92,3,PLAY,StillPlaying,262537
101.428550005,93,4,PLAY,Writing,262537
101.918519974,94,3,PLAY,StillPlaying,262537
102.880092859,94,4,PLAY,Writing,262537
103.918537855,96,3,PLAY,StillPlaying,262537
104.884073973,96,4,PLAY,Writing,262537
105.963819981,98,3,PLAY,StillPlaying,262537
106.855001926,98,4,PLAY,Writing,262537
107.951797962,100,3,PLAY,StillPlaying,262537
108.804077864,100,4,PLAY,Writing,262537
109.919791937,102,3,PLAY,StillPlaying,262537
110.662596941,102,4,PLAY,Writing,262537
111.927782774,104,3,PLAY,StillPlaying,262537
112.74008584,104,4,PLAY,Writing,262537
113.923820972,106,3,PLAY,StillPlaying,262537
114.996991873,107,4,PLAY,Writing,262537
115.94788599,108,3,PLAY,StillPlaying,262537
116.796060801,108,4,PLAY,Writing,262537
117.943805933,110,3,PLAY,StillPlaying,262537
119.228099823,111,4,PLAY,Writing,262537
119.93580389,112,3,PLAY,StillPlaying,262537
120.636090994,112,4,PLAY,Writing,262537
121.975802898,114,3,PLAY,StillPlaying,262537
123.764521837,115,4,PLAY,Writing,262537
123.927814007,116,3,PLAY,StillPlaying,262537
125.720140934,117,4,PLAY,Writing,262537
125.963799953,118,3,PLAY,StillPlaying,262537
127.580191851,119,4,PLAY,Writing,262537
127.951812983,120,3,PLAY,StillPlaying,262537
129.864154816,121,4,PLAY,Writing,262537
129.943804979,122,3,PLAY,StillPlaying,262537
131.880114794,123,4,PLAY,Writing,262537
131.935796976,124,3,PLAY,StillPlaying,262537
133.923782825,126,2,PLAY,StillPlaying,262537
134.184059858,126,3,PLAY,Writing,262537
135.939818859,128,2,PLAY,StillPlaying,262537
136.260063887,128,3,PLAY,Writing,262537
137.943813801,130,2,PLAY,StillPlaying,262537
138.040122986,130,3,PLAY,Writing,262537
139.71212697,131,4,PLAY,Writing,262537
139.924198866,132,3,PLAY,StillPlaying,262537
141.636093855,133,4,PLAY,Writing,262537
141.923812866,134,3,PLAY,StillPlaying,262537
143.664721966,135,4,PLAY,Writing,262537
143.951813936,136,3,PLAY,StillPlaying,262537
145.92384696,138,2,PLAY,StillPlaying,262537
146.096125841,138,3,PLAY,Writing,262537
147.935841799,140,2,PLAY,StillPlaying,262537
148.012105942,140,3,PLAY,Writing,262537
149.540084839,141,4,PLAY,Writing,262537
149.931804895,142,3,PLAY,StillPlaying,262537
151.54010582,143,4,PLAY,Writing,262537
151.95179987,144,3,PLAY,StillPlaying,262537
153.576107979,145,4,PLAY,Writing,262537
153.931800842,146,3,PLAY,StillPlaying,262537
155.604076862,147,4,PLAY,Writing,262537
