EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000108957290649,0,1,INITIAL_BUFFERING,Writing,89283
0.00282192230225,0,1,PLAY,InitialBuffering-Play,0
0.00303411483765,0,0,PLAY,StillPlaying,89283
0.490156888962,0,1,PLAY,Writing,89283
2.01386189461,2,0,PLAY,StillPlaying,89283
2.22217011452,2,1,PLAY,Writing,334349
3.21819806099,3,2,PLAY,Writing,178351
4.00324702263,4,1,PLAY,StillPlaying,334349
4.33414888382,4,2,PLAY,Writing,178351
5.39817404747,5,3,PLAY,Writing,178351
6.00325393677,6,2,PLAY,StillPlaying,178351
7.50614190102,7,3,PLAY,Writing,334349
8.0139040947,8,2,PLAY,StillPlaying,178351
9.43422007561,9,3,PLAY,Writing,334349
10.0539329052,10,2,PLAY,StillPlaying,178351
11.374655962,11,3,PLAY,Writing,334349
12.0337820053,12,2,PLAY,StillPlaying,334349
12.8981599808,12,3,PLAY,Writing,334349
14.0859088898,14,2,PLAY,StillPlaying,334349
14.1296379566,14,3,PLAY,Writing,334349
15.5141780376,15,4,PLAY,Writing,334349
16.0218820572,16,3,PLAY,StillPlaying,334349
16.8461780548,16,4,PLAY,Writing,334349
18.0378670692,18,3,PLAY,StillPlaying,334349
18.8981668949,18,4,PLAY,Writing,334349
20.057847023,20,3,PLAY,StillPlaying,334349
20.8461520672,20,4,PLAY,Writing,334349
22.0098750591,22,3,PLAY,StillPlaying,334349
22.8941719532,22,4,PLAY,Writing,334349
24.0338850021,24,3,PLAY,StillPlaying,334349
24.9421730042,24,4,PLAY,Writing,334349
26.0032770634,26,3,PLAY,StillPlaying,334349
26.8576660156,26,4,PLAY,Writing,334349
28.0138559341,28,3,PLAY,StillPlaying,334349
28.7582080364,28,4,PLAY,Writing,334349
30.0498468876,30,3,PLAY,StillPlaying,334349
30.846642971,30,4,PLAY,Writing,334349
32.0498890877,32,3,PLAY,StillPlaying,334349
32.9621789455,32,4,PLAY,Writing,334349
34.0295379162,34,3,PLAY,StillPlaying,334349
35.0141880512,35,4,PLAY,Writing,334349
36.0139119625,36,3,PLAY,StillPlaying,334349
37.0461690426,37,4,PLAY,Writing,334349
38.0379428864,38,3,PLAY,StillPlaying,334349
39.0622079372,39,4,PLAY,Writing,334349
40.00324893,40,3,PLAY,StillPlaying,334349
41.0981400013,41,4,PLAY,Writing,334349
42.0298609734,42,3,PLAY,StillPlaying,334349
43.0941810608,43,4,PLAY,Writing,334349
44.0658459663,44,3,PLAY,StillPlaying,334349
45.0582149029,45,4,PLAY,Writing,334349
46.0218579769,46,3,PLAY,StillPlaying,334349
47.1341609955,47,4,PLAY,Writing,334349
48.0258750916,48,3,PLAY,StillPlaying,334349
49.2701609135,49,4,PLAY,Writing,334349
50.0032598972,50,3,PLAY,StillPlaying,334349
50.485090971,50,4,PLAY,Writing,334349
51.3680970669,51,5,PLAY,Writing,334349
52.0458619595,52,4,PLAY,StillPlaying,334349
54.0338609219,54,3,PLAY,StillPlaying,334349
56.0219089985,56,2,PLAY,StillPlaying,334349
56.4421839714,56,3,PLAY,Writing,334349
57.5741760731,57,4,PLAY,Writing,334349
58.0298700333,58,3,PLAY,StillPlaying,334349
58.7381439209,58,4,PLAY,Writing,334349
60.0032680035,60,3,PLAY,StillPlaying,334349
60.1177790165,60,4,PLAY,Writing,334349
61.5501759052,61,5,PLAY,Writing,334349
62.0538809299,62,4,PLAY,StillPlaying,334349
64.0218780041,64,3,PLAY,StillPlaying,334349
66.0218849182,66,2,PLAY,StillPlaying,334349
66.5120990276,66,3,PLAY,Writing,334349
67.3718519211,67,4,PLAY,Writing,334349
68.0032520294,68,3,PLAY,StillPlaying,334349
69.7227220535,69,4,PLAY,Writing,595491
70.0378460884,70,3,PLAY,StillPlaying,334349
72.0098910332,72,2,PLAY,StillPlaying,334349
72.1982269287,72,3,PLAY,Writing,595491
73.7502119541,73,4,PLAY,Writing,334349
74.0032689571,74,3,PLAY,StillPlaying,334349
75.038161993,75,4,PLAY,Writing,334349
76.0178830624,76,3,PLAY,StillPlaying,595491
76.4342229366,76,4,PLAY,Writing,334349
77.1541309357,77,5,PLAY,Writing,334349
78.0338718891,78,4,PLAY,StillPlaying,595491
80.0138750076,80,3,PLAY,StillPlaying,334349
80.2524869442,80,4,PLAY,Writing,595491
81.7981739044,81,5,PLAY,Writing,595491
82.0418660641,82,4,PLAY,StillPlaying,334349
83.6556529999,83,5,PLAY,Writing,595491
84.0179040432,84,4,PLAY,StillPlaying,334349
85.1821010113,85,5,PLAY,Writing,595491
86.0339241028,86,4,PLAY,StillPlaying,334349
87.0141699314,87,5,PLAY,Writing,595491
88.0378420353,88,4,PLAY,StillPlaying,595491
89.1381649971,89,5,PLAY,Writing,595491
90.0099520683,90,4,PLAY,StillPlaying,595491
90.5101599693,90,5,PLAY,Writing,595491
92.013864994,92,4,PLAY,StillPlaying,595491
92.5501859188,92,5,PLAY,Writing,595491
94.0298669338,94,4,PLAY,StillPlaying,595491
94.5021669865,94,5,PLAY,Writing,595491
96.0258729458,96,4,PLAY,StillPlaying,595491
96.266160965,96,5,PLAY,Writing,595491
98.0099179745,98,4,PLAY,StillPlaying,595491
98.0701630116,98,5,PLAY,Writing,595491
100.022200108,100,6,PLAY,Writing,595491
100.02513504,100,5,PLAY,StillPlaying,595491
101.882157087,101,6,PLAY,Writing,595491
102.033849955,102,5,PLAY,StillPlaying,595491
104.00592494,104,4,PLAY,StillPlaying,595491
104.182190895,104,5,PLAY,Writing,595491
106.013880014,106,4,PLAY,StillPlaying,595491
106.082221031,106,5,PLAY,Writing,595491
108.009879112,108,4,PLAY,StillPlaying,595491
108.294188976,108,5,PLAY,Writing,595491
110.021878958,110,4,PLAY,StillPlaying,595491
110.606128931,110,5,PLAY,Writing,595491
112.045877934,112,4,PLAY,StillPlaying,595491
112.894157887,112,5,PLAY,Writing,595491
114.021945,114,4,PLAY,StillPlaying,595491
115.26216197,115,5,PLAY,Writing,595491
116.005858898,116,4,PLAY,StillPlaying,595491
117.166188955,117,5,PLAY,Writing,595491
118.003268003,118,4,PLAY,StillPlaying,595491
119.206156969,119,5,PLAY,Writing,595491
120.013878107,120,4,PLAY,StillPlaying,595491
121.35015893,121,5,PLAY,Writing,595491
122.021864891,122,4,PLAY,StillPlaying,595491
123.842178106,123,5,PLAY,Writing,595491
124.030165911,124,4,PLAY,StillPlaying,595491
126.017868042,126,3,PLAY,StillPlaying,595491
126.382312059,126,4,PLAY,Writing,595491
128.005872965,128,3,PLAY,StillPlaying,595491
128.85372901,128,4,PLAY,Writing,595491
130.025881052,130,3,PLAY,StillPlaying,595491
131.049187899,131,4,PLAY,Writing,595491
132.013931036,132,3,PLAY,StillPlaying,595491
133.147063017,133,4,PLAY,Writing,595491
134.017853975,134,3,PLAY,StillPlaying,595491
135.61907196,135,4,PLAY,Writing,595491
136.041863918,136,3,PLAY,StillPlaying,595491
138.017901897,138,2,PLAY,StillPlaying,595491
138.070204973,138,3,PLAY,Writing,595491
139.306138992,139,4,PLAY,Writing,334349
140.013840914,140,3,PLAY,StillPlaying,595491
140.305213928,140,4,PLAY,Writing,334349
142.0330019,142,5,PLAY,Writing,595491
142.035998106,142,4,PLAY,StillPlaying,595491
143.965607882,143,5,PLAY,Writing,595491
144.003268003,144,4,PLAY,StillPlaying,595491
146.021869898,146,3,PLAY,StillPlaying,334349
146.134162903,146,4,PLAY,Writing,595491
147.962178946,147,5,PLAY,Writing,595491
148.003266096,148,4,PLAY,StillPlaying,334349
