EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000239133834839,0,1,INITIAL_BUFFERING,Writing,89283
0.0532789230347,0,1,PLAY,InitialBuffering-Play,0
0.0537900924683,0,0,PLAY,StillPlaying,89283
0.840289115906,0,1,PLAY,Writing,89283
2.05472207069,2,0,PLAY,StillPlaying,89283
4.06709003448,4,0,BUFFERING,Play-Buffering,0
8.24779295921,4,1,BUFFERING,Writing,221600
8.34365701675,4,1,PLAY,Buffering-Play,0
8.34429597855,4,0,PLAY,StillPlaying,221600
8.60794711113,4,1,PLAY,Writing,89283
8.88424110413,4,2,PLAY,Writing,89283
9.29235291481,4,3,PLAY,Writing,178351
9.72823905945,5,4,PLAY,Writing,334349
10.3397729397,6,3,PLAY,StillPlaying,89283
10.7532179356,6,4,PLAY,Writing,791182
12.361536026,8,3,PLAY,StillPlaying,89283
14.0480220318,9,4,PLAY,Writing,791182
14.3324830532,10,3,PLAY,StillPlaying,178351
15.3199830055,10,4,PLAY,Writing,791182
16.3355739117,12,3,PLAY,StillPlaying,334349
16.5038650036,12,4,PLAY,Writing,791182
17.3499889374,13,5,PLAY,Writing,791182
18.3416290283,14,4,PLAY,StillPlaying,791182
19.8162360191,15,5,PLAY,Writing,1546902
20.3559379578,16,4,PLAY,StillPlaying,791182
22.3474519253,18,3,PLAY,StillPlaying,791182
23.3108570576,18,4,PLAY,Writing,1546902
24.2307190895,19,5,PLAY,Writing,791182
24.3835809231,20,4,PLAY,StillPlaying,791182
26.3554549217,22,3,PLAY,StillPlaying,791182
28.1118030548,23,4,PLAY,Writing,1546902
28.347728014,24,3,PLAY,StillPlaying,1546902
30.3473911285,26,2,PLAY,StillPlaying,1546902
30.6321251392,26,3,PLAY,Writing,791182
32.3676669598,28,2,PLAY,StillPlaying,791182
33.0881419182,28,3,PLAY,Writing,334349
33.6162679195,29,4,PLAY,Writing,334349
34.3336961269,30,3,PLAY,StillPlaying,1546902
36.1179630756,31,4,PLAY,Writing,791182
36.3856799603,32,3,PLAY,StillPlaying,791182
37.3750281334,33,4,PLAY,Writing,791182
38.3557491302,34,3,PLAY,StillPlaying,334349
38.8640019894,34,4,PLAY,Writing,791182
40.3395590782,36,3,PLAY,StillPlaying,334349
40.9202771187,36,4,PLAY,Writing,791182
42.3404319286,38,3,PLAY,StillPlaying,791182
44.3352789879,40,2,PLAY,StillPlaying,791182
44.543913126,40,3,PLAY,Writing,791182
45.1765069962,40,4,PLAY,Writing,334349
46.3515720367,42,3,PLAY,StillPlaying,791182
46.772867918,42,4,PLAY,Writing,791182
47.9802119732,43,5,PLAY,Writing,791182
48.3597531319,44,4,PLAY,StillPlaying,791182
50.3674170971,46,3,PLAY,StillPlaying,791182
52.3553049564,48,2,PLAY,StillPlaying,334349
54.3763110638,50,1,PLAY,StillPlaying,791182
56.3320291042,52,0,PLAY,StillPlaying,791182
56.5471839905,52,1,PLAY,Writing,1244778
57.6082489491,53,2,PLAY,Writing,89283
57.8932299614,53,3,PLAY,Writing,178351
58.2842290401,53,4,PLAY,Writing,334349
58.3682630062,54,3,PLAY,StillPlaying,1244778
59.0430700779,54,4,PLAY,Writing,791182
59.6029009819,55,5,PLAY,Writing,791182
60.3916931152,56,4,PLAY,StillPlaying,89283
62.3354411125,58,3,PLAY,StillPlaying,178351
64.3434450626,60,2,PLAY,StillPlaying,334349
65.3512270451,61,3,PLAY,Writing,1546902
66.3635089397,62,2,PLAY,StillPlaying,791182
66.7192981243,62,3,PLAY,Writing,334349
67.0441310406,62,4,PLAY,Writing,334349
67.5001671314,63,5,PLAY,Writing,791182
68.335613966,64,4,PLAY,StillPlaying,791182
70.3321681023,66,3,PLAY,StillPlaying,1546902
71.2847180367,66,4,PLAY,Writing,1546902
72.3701629639,68,3,PLAY,StillPlaying,334349
73.6662249565,69,4,PLAY,Writing,791182
74.3322820663,70,3,PLAY,StillPlaying,334349
76.3697731495,72,2,PLAY,StillPlaying,791182
77.0478930473,72,3,PLAY,Writing,791182
77.6564519405,73,4,PLAY,Writing,334349
78.3596870899,74,3,PLAY,StillPlaying,1546902
79.8638241291,75,4,PLAY,Writing,791182
80.3475949764,76,3,PLAY,StillPlaying,791182
80.9620800018,76,4,PLAY,Writing,791182
82.3522000313,78,3,PLAY,StillPlaying,791182
83.6241159439,79,4,PLAY,Writing,791182
84.3716869354,80,3,PLAY,StillPlaying,334349
84.5624060631,80,4,PLAY,Writing,791182
86.3519530296,82,3,PLAY,StillPlaying,791182
86.4627151489,82,4,PLAY,Writing,791182
88.3121299744,83,5,PLAY,Writing,791182
88.3971250057,84,4,PLAY,StillPlaying,791182
90.0680670738,85,5,PLAY,Writing,791182
90.3322889805,86,4,PLAY,StillPlaying,791182
92.2841169834,87,5,PLAY,Writing,791182
92.356814146,88,4,PLAY,StillPlaying,791182
94.3441460133,90,5,PLAY,Writing,791182
94.4211061001,90,4,PLAY,StillPlaying,791182
96.1598711014,91,5,PLAY,Writing,791182
96.3875949383,92,4,PLAY,StillPlaying,791182
97.6481189728,93,5,PLAY,Writing,791182
98.3642420769,94,6,PLAY,Writing,791182
98.4378910065,94,5,PLAY,StillPlaying,791182
100.335397959,96,4,PLAY,StillPlaying,791182
102.339528084,98,3,PLAY,StillPlaying,791182
104.387398958,100,2,PLAY,StillPlaying,791182
106.333527088,102,1,PLAY,StillPlaying,791182
108.351320982,104,0,PLAY,StillPlaying,791182
109.611999035,105,1,PLAY,Writing,3526922
110.335557938,106,0,PLAY,StillPlaying,3526922
111.171143055,106,1,PLAY,Writing,89283
112.343677044,108,0,PLAY,StillPlaying,89283
112.508845091,108,1,PLAY,Writing,89283
113.548126936,109,2,PLAY,Writing,89283
113.916111946,109,3,PLAY,Writing,178351
114.28015995,109,4,PLAY,Writing,334349
114.356137037,110,3,PLAY,StillPlaying,89283
115.119944096,110,4,PLAY,Writing,791182
116.343564034,112,3,PLAY,StillPlaying,89283
118.048727989,113,4,PLAY,Writing,791182
118.359633923,114,3,PLAY,StillPlaying,178351
120.371354103,116,2,PLAY,StillPlaying,334349
121.096118927,116,3,PLAY,Writing,791182
121.68465209,117,4,PLAY,Writing,334349
122.339071989,118,3,PLAY,StillPlaying,791182
124.371309042,120,2,PLAY,StillPlaying,791182
124.560177088,120,3,PLAY,Writing,791182
125.144237995,120,4,PLAY,Writing,334349
125.676250935,121,5,PLAY,Writing,791182
126.363615036,122,4,PLAY,StillPlaying,791182
128.355277061,124,3,PLAY,StillPlaying,334349
130.33970809,126,2,PLAY,StillPlaying,791182
130.491843939,126,3,PLAY,Writing,1546902
131.032478094,126,4,PLAY,Writing,334349
132.343732119,128,3,PLAY,StillPlaying,334349
132.88005209,128,4,PLAY,Writing,791182
134.347887993,130,3,PLAY,StillPlaying,791182
134.806759119,130,4,PLAY,Writing,791182
136.357933998,132,3,PLAY,StillPlaying,1546902
136.621434927,132,4,PLAY,Writing,791182
138.34404397,134,3,PLAY,StillPlaying,334349
138.746243,134,4,PLAY,Writing,791182
140.345860004,136,3,PLAY,StillPlaying,791182
140.568891048,136,4,PLAY,Writing,791182
141.940901041,137,5,PLAY,Writing,791182
142.355540037,138,4,PLAY,StillPlaying,791182
144.136109114,139,5,PLAY,Writing,791182
144.3469491,140,4,PLAY,StillPlaying,791182
146.140455961,141,5,PLAY,Writing,791182
146.337944031,142,4,PLAY,StillPlaying,791182
148.336014032,144,5,PLAY,Writing,791182
148.422981977,144,4,PLAY,StillPlaying,791182
150.328287125,145,5,PLAY,Writing,791182
