EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000108957290649,0,1,INITIAL_BUFFERING,Writing,89283
0.00276899337769,0,1,PLAY,InitialBuffering-Play,0
0.00296497344971,0,0,PLAY,StillPlaying,89283
0.423757791519,0,1,PLAY,Writing,89283
2.00744986534,2,0,PLAY,StillPlaying,89283
2.17170882225,2,1,PLAY,Writing,334349
3.1557559967,3,2,PLAY,Writing,178351
4.03945589066,4,1,PLAY,StillPlaying,334349
4.27665686607,4,2,PLAY,Writing,178351
5.315751791,5,3,PLAY,Writing,178351
6.00746679306,6,2,PLAY,StillPlaying,178351
7.45974397659,7,3,PLAY,Writing,334349
8.01946878433,8,2,PLAY,StillPlaying,178351
9.38787388802,9,3,PLAY,Writing,334349
10.0475518703,10,2,PLAY,StillPlaying,178351
11.3242309093,11,3,PLAY,Writing,334349
12.0114359856,12,2,PLAY,StillPlaying,334349
12.7917318344,12,3,PLAY,Writing,334349
14.0354688168,14,2,PLAY,StillPlaying,334349
14.0837299824,14,3,PLAY,Writing,334349
15.4045169353,15,4,PLAY,Writing,334349
16.0275189877,16,3,PLAY,StillPlaying,334349
16.7437229156,16,4,PLAY,Writing,334349
18.0314719677,18,3,PLAY,StillPlaying,334349
18.7317478657,18,4,PLAY,Writing,334349
20.0515048504,20,3,PLAY,StillPlaying,334349
20.7837398052,20,4,PLAY,Writing,334349
22.0154578686,22,3,PLAY,StillPlaying,334349
22.8837468624,22,4,PLAY,Writing,334349
24.0154829025,24,3,PLAY,StillPlaying,334349
24.9045968056,24,4,PLAY,Writing,334349
26.0114648342,26,3,PLAY,StillPlaying,334349
26.8318099976,26,4,PLAY,Writing,334349
28.0194528103,28,3,PLAY,StillPlaying,334349
28.7517809868,28,4,PLAY,Writing,334349
30.0155568123,30,3,PLAY,StillPlaying,334349
30.8362219334,30,4,PLAY,Writing,334349
32.0194659233,32,3,PLAY,StillPlaying,334349
32.9277098179,32,4,PLAY,Writing,334349
34.0794680119,34,3,PLAY,StillPlaying,334349
34.9992558956,34,4,PLAY,Writing,334349
36.0031788349,36,3,PLAY,StillPlaying,334349
37.00639081,37,4,PLAY,Writing,334349
38.0394477844,38,3,PLAY,StillPlaying,334349
38.9758059978,38,4,PLAY,Writing,334349
40.0394918919,40,3,PLAY,StillPlaying,334349
41.0997488499,41,4,PLAY,Writing,334349
42.0031809807,42,3,PLAY,StillPlaying,334349
43.031763792,43,4,PLAY,Writing,334349
44.0034279823,44,3,PLAY,StillPlaying,334349
45.043751955,45,4,PLAY,Writing,334349
46.0275118351,46,3,PLAY,StillPlaying,334349
47.0997128487,47,4,PLAY,Writing,334349
48.0031919479,48,3,PLAY,StillPlaying,334349
49.2477347851,49,4,PLAY,Writing,334349
50.0274429321,50,3,PLAY,StillPlaying,334349
50.5277359486,50,4,PLAY,Writing,334349
51.4357569218,51,5,PLAY,Writing,334349
52.0234498978,52,4,PLAY,StillPlaying,334349
54.0354328156,54,3,PLAY,StillPlaying,334349
