EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000271797180176,0,1,INITIAL_BUFFERING,Writing,89283
0.0641238689423,0,1,PLAY,InitialBuffering-Play,0
0.0647909641266,0,0,PLAY,StillPlaying,89283
0.658041954041,0,1,PLAY,Writing,89283
2.12497091293,2,0,PLAY,StillPlaying,89283
4.12146091461,4,0,BUFFERING,Play-Buffering,0
4.9458899498,4,1,BUFFERING,Writing,262537
5.00180196762,4,1,PLAY,Buffering-Play,0
5.0023188591,4,0,PLAY,StillPlaying,262537
6.23001384735,5,1,PLAY,Writing,89283
6.9853489399,6,0,PLAY,StillPlaying,89283
7.97692489624,6,1,PLAY,Writing,89283
8.64706683159,7,2,PLAY,Writing,89283
9.02150893211,8,1,PLAY,StillPlaying,89283
9.81372690201,8,2,PLAY,Writing,178351
10.4722399712,9,3,PLAY,Writing,178351
11.005466938,10,2,PLAY,StillPlaying,89283
11.669741869,10,3,PLAY,Writing,334349
12.882131815,11,4,PLAY,Writing,334349
13.0494949818,12,3,PLAY,StillPlaying,178351
15.0241239071,14,2,PLAY,StillPlaying,178351
15.3300487995,14,3,PLAY,Writing,334349
17.0054168701,16,2,PLAY,StillPlaying,334349
17.672249794,16,3,PLAY,Writing,334349
19.0035607815,18,2,PLAY,StillPlaying,334349
19.5356969833,18,3,PLAY,Writing,334349
20.9856739044,20,2,PLAY,StillPlaying,334349
21.2938718796,20,3,PLAY,Writing,334349
22.9982728958,22,2,PLAY,StillPlaying,334349
23.1178588867,22,3,PLAY,Writing,334349
24.8108158112,23,4,PLAY,Writing,334349
25.0294628143,24,3,PLAY,StillPlaying,334349
25.9736478329,24,4,PLAY,Writing,334349
26.9877560139,26,3,PLAY,StillPlaying,334349
28.8537609577,27,4,PLAY,Writing,595491
29.0094118118,28,3,PLAY,StillPlaying,334349
30.8617358208,29,4,PLAY,Writing,595491
31.0153548717,30,3,PLAY,StillPlaying,334349
32.997084856,32,2,PLAY,StillPlaying,334349
33.574368,32,3,PLAY,Writing,595491
34.1101880074,33,4,PLAY,Writing,334349
34.9973568916,34,3,PLAY,StillPlaying,595491
37.0053179264,36,2,PLAY,StillPlaying,595491
37.5897419453,36,3,PLAY,Writing,791182
38.6741797924,37,4,PLAY,Writing,334349
39.0133459568,38,3,PLAY,StillPlaying,595491
40.9831359386,40,2,PLAY,StillPlaying,334349
41.9129707813,40,3,PLAY,Writing,595491
43.0013868809,42,2,PLAY,StillPlaying,791182
43.4538538456,42,3,PLAY,Writing,334349
44.9957838058,44,2,PLAY,StillPlaying,334349
45.5985748768,44,3,PLAY,Writing,334349
47.0094249249,46,2,PLAY,StillPlaying,595491
47.8835299015,46,3,PLAY,Writing,334349
48.9854128361,48,2,PLAY,StillPlaying,334349
50.1580438614,49,3,PLAY,Writing,334349
51.001541853,50,2,PLAY,StillPlaying,334349
52.7059350014,51,3,PLAY,Writing,334349
52.9977428913,52,2,PLAY,StillPlaying,334349
53.3157088757,52,3,PLAY,Writing,334349
54.0501558781,53,4,PLAY,Writing,334349
54.9855549335,54,3,PLAY,StillPlaying,334349
55.7021229267,54,4,PLAY,Writing,791182
56.9827148914,56,3,PLAY,StillPlaying,334349
57.6866219044,56,4,PLAY,Writing,791182
59.0095648766,58,3,PLAY,StillPlaying,334349
59.6097538471,58,4,PLAY,Writing,791182
61.0249378681,60,3,PLAY,StillPlaying,334349
63.0092029572,62,2,PLAY,StillPlaying,791182
63.9775309563,62,3,PLAY,Writing,791182
65.0154299736,64,2,PLAY,StillPlaying,791182
65.925962925,64,3,PLAY,Writing,334349
66.9975969791,66,2,PLAY,StillPlaying,791182
67.4224507809,66,3,PLAY,Writing,334349
68.3898508549,67,4,PLAY,Writing,334349
68.9975438118,68,3,PLAY,StillPlaying,791182
70.4458928108,69,4,PLAY,Writing,334349
70.985449791,70,3,PLAY,StillPlaying,334349
72.9503920078,71,4,PLAY,Writing,334349
73.0276319981,72,3,PLAY,StillPlaying,334349
75.0012028217,74,2,PLAY,StillPlaying,334349
75.7129509449,74,3,PLAY,Writing,334349
76.9827477932,76,2,PLAY,StillPlaying,334349
77.9337627888,76,3,PLAY,Writing,334349
79.0175719261,78,2,PLAY,StillPlaying,334349
79.7692790031,78,3,PLAY,Writing,334349
81.0015089512,80,2,PLAY,StillPlaying,334349
81.9689278603,80,3,PLAY,Writing,334349
83.0015468597,82,2,PLAY,StillPlaying,334349
83.7425298691,82,3,PLAY,Writing,334349
84.9895858765,84,2,PLAY,StillPlaying,334349
85.9220619202,84,3,PLAY,Writing,334349
87.005822897,86,2,PLAY,StillPlaying,334349
87.6089208126,86,3,PLAY,Writing,334349
88.9829308987,88,2,PLAY,StillPlaying,334349
89.2868859768,88,3,PLAY,Writing,334349
90.2881817818,89,4,PLAY,Writing,334349
91.0055069923,90,3,PLAY,StillPlaying,334349
91.6058959961,90,4,PLAY,Writing,334349
93.0175018311,92,3,PLAY,StillPlaying,334349
93.2429378033,92,4,PLAY,Writing,334349
95.0056209564,94,3,PLAY,StillPlaying,334349
95.222784996,94,4,PLAY,Writing,334349
96.8069968224,95,5,PLAY,Writing,334349
97.0415167809,96,4,PLAY,StillPlaying,334349
98.0017659664,97,5,PLAY,Writing,334349
99.013589859,98,4,PLAY,StillPlaying,334349
101.005178928,100,3,PLAY,StillPlaying,334349
102.993814945,102,2,PLAY,StillPlaying,334349
104.115657806,103,3,PLAY,Writing,334349
104.995579958,104,2,PLAY,StillPlaying,334349
105.677719831,104,3,PLAY,Writing,334349
106.993547916,106,2,PLAY,StillPlaying,334349
107.041977882,106,3,PLAY,Writing,334349
108.618155003,107,4,PLAY,Writing,334349
108.989568949,108,3,PLAY,StillPlaying,334349
111.02175498,110,4,PLAY,Writing,334349
111.056437016,110,3,PLAY,StillPlaying,334349
112.997097015,112,2,PLAY,StillPlaying,334349
115.005216837,114,1,PLAY,StillPlaying,334349
116.041754007,115,2,PLAY,Writing,334349
117.009394884,116,1,PLAY,StillPlaying,334349
117.473968983,116,2,PLAY,Writing,178351
118.597804785,117,3,PLAY,Writing,178351
118.997651815,118,2,PLAY,StillPlaying,334349
120.249922991,119,3,PLAY,Writing,262537
121.017625809,120,2,PLAY,StillPlaying,178351
121.873914003,120,3,PLAY,Writing,262537
122.387320995,121,4,PLAY,Writing,262537
122.985364914,122,3,PLAY,StillPlaying,178351
124.983187914,124,2,PLAY,StillPlaying,262537
125.259787798,124,3,PLAY,Writing,791182
127.017620802,126,2,PLAY,StillPlaying,262537
127.497972012,126,3,PLAY,Writing,334349
128.985365868,128,2,PLAY,StillPlaying,262537
130.101977825,129,3,PLAY,Writing,334349
131.013398886,130,2,PLAY,StillPlaying,791182
131.246725798,130,3,PLAY,Writing,334349
133.013484955,132,2,PLAY,StillPlaying,334349
133.24967289,132,3,PLAY,Writing,334349
134.994511843,134,4,PLAY,Writing,334349
135.069863796,134,3,PLAY,StillPlaying,334349
137.005234957,136,2,PLAY,StillPlaying,334349
137.192685843,136,3,PLAY,Writing,334349
138.567521811,137,4,PLAY,Writing,334349
138.989420891,138,3,PLAY,StillPlaying,334349
139.958106995,138,4,PLAY,Writing,334349
141.027373791,140,3,PLAY,StillPlaying,334349
141.733690977,140,4,PLAY,Writing,334349
142.993384838,142,3,PLAY,StillPlaying,334349
143.889729977,142,4,PLAY,Writing,334349
145.005390882,144,3,PLAY,StillPlaying,334349
145.701686859,144,4,PLAY,Writing,334349
146.98958993,146,3,PLAY,StillPlaying,334349
147.369743824,146,4,PLAY,Writing,334349
