[2021-01-12 11:26:44]INFO:Read handle: listening to /
[2021-01-12 11:26:44]INFO:TCP insertion handle serving on ('0.0.0.0', 7376)
[2021-01-12 11:26:44]INFO:subscribing to topic: /bigbuckbunny/insert
[2021-01-12 11:26:47]INFO:subscribing to topic: /bigbuckbunny/delete
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=0
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=1
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=2
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=3
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=4
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=5
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=6
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=7
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=8
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=9
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=10
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=11
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=12
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=13
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=14
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=15
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=16
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=17
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=18
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=19
[2021-01-12 11:28:31]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=20
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s_init.mp4/seg=0
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s1.m4s/seg=0
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s1.m4s/seg=1
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s1.m4s/seg=2
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s1.m4s/seg=3
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_595491bps/bunny_595491bps_BigBuckBunny_2s2.m4s/seg=0
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_595491bps/bunny_595491bps_BigBuckBunny_2s2.m4s/seg=1
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_595491bps/bunny_595491bps_BigBuckBunny_2s2.m4s/seg=2
[2021-01-12 11:28:32]INFO:Read handle: serve data /edu/umass/bunny_595491bps/bunny_595491bps_BigBuckBunny_2s2.m4s/seg=3
