EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000196933746338,0,1,INITIAL_BUFFERING,Writing,89283
0.014741897583,0,1,PLAY,InitialBuffering-Play,0
0.0152728557587,0,0,PLAY,StillPlaying,89283
0.224025964737,0,1,PLAY,Writing,89283
0.948407888412,0,2,PLAY,Writing,791182
1.96410298347,1,3,PLAY,Writing,1546902
2.05563998222,2,2,PLAY,StillPlaying,89283
4.03437495232,4,1,PLAY,StillPlaying,791182
6.01575994492,6,0,PLAY,StillPlaying,1546902
8.01592302322,8,0,BUFFERING,Play-Buffering,0
14.7021529675,8,1,BUFFERING,Writing,3526922
14.7454969883,8,1,PLAY,Buffering-Play,0
14.7459819317,8,0,PLAY,StillPlaying,3526922
14.9364998341,8,1,PLAY,Writing,89283
15.1570529938,8,2,PLAY,Writing,89283
15.3803348541,8,3,PLAY,Writing,178351
15.7223570347,8,4,PLAY,Writing,334349
16.0849649906,9,5,PLAY,Writing,791182
16.5918188095,9,6,PLAY,Writing,1546902
16.7465209961,10,5,PLAY,StillPlaying,89283
18.1703429222,11,6,PLAY,Writing,4219897
18.7467589378,12,5,PLAY,StillPlaying,89283
20.0681049824,13,6,PLAY,Writing,4219897
20.7517290115,14,5,PLAY,StillPlaying,178351
22.7757220268,16,4,PLAY,StillPlaying,334349
24.7697060108,18,3,PLAY,StillPlaying,791182
25.3614900112,18,4,PLAY,Writing,4219897
26.7444360256,19,5,PLAY,Writing,791182
26.792552948,20,4,PLAY,StillPlaying,1546902
27.3103539944,20,5,PLAY,Writing,791182
28.4332678318,21,6,PLAY,Writing,1546902
28.7480688095,22,5,PLAY,StillPlaying,4219897
30.7714159489,24,4,PLAY,StillPlaying,4219897
32.3951280117,25,5,PLAY,Writing,3526922
32.7521870136,26,4,PLAY,StillPlaying,4219897
33.5806570053,26,5,PLAY,Writing,1546902
34.4687178135,27,6,PLAY,Writing,1546902
34.7540228367,28,5,PLAY,StillPlaying,791182
36.7837729454,30,4,PLAY,StillPlaying,791182
37.1799349785,30,5,PLAY,Writing,4219897
38.7640218735,32,4,PLAY,StillPlaying,1546902
39.3204088211,32,5,PLAY,Writing,1546902
40.0883059502,33,6,PLAY,Writing,1546902
40.7823460102,34,5,PLAY,StillPlaying,3526922
42.5171658993,35,6,PLAY,Writing,4219897
42.7540278435,36,5,PLAY,StillPlaying,1546902
44.7518060207,38,4,PLAY,StillPlaying,1546902
44.9398479462,38,5,PLAY,Writing,4219897
46.7638180256,40,4,PLAY,StillPlaying,4219897
47.5444698334,40,5,PLAY,Writing,1546902
48.7522108555,42,4,PLAY,StillPlaying,1546902
48.9721438885,42,5,PLAY,Writing,1546902
50.7442929745,43,6,PLAY,Writing,1546902
50.7756118774,44,5,PLAY,StillPlaying,1546902
51.76887393,45,6,PLAY,Writing,1546902
52.7800078392,46,5,PLAY,StillPlaying,4219897
54.7525389194,48,4,PLAY,StillPlaying,4219897
56.7833628654,50,3,PLAY,StillPlaying,1546902
57.0000228882,50,4,PLAY,Writing,3526922
58.7476389408,52,3,PLAY,StillPlaying,1546902
59.5199718475,52,4,PLAY,Writing,791182
60.7637298107,54,3,PLAY,StillPlaying,1546902
62.7462809086,56,2,PLAY,StillPlaying,1546902
64.5534729958,57,3,PLAY,Writing,791182
64.7561728954,58,2,PLAY,StillPlaying,3526922
64.8028888702,58,3,PLAY,Writing,334349
65.0805289745,58,4,PLAY,Writing,334349
65.7187309265,58,5,PLAY,Writing,791182
66.5125098228,59,6,PLAY,Writing,1546902
66.7912909985,60,5,PLAY,StillPlaying,791182
68.3852629662,61,6,PLAY,Writing,4219897
68.751860857,62,5,PLAY,StillPlaying,791182
70.597484827,63,6,PLAY,Writing,4219897
70.7560679913,64,5,PLAY,StillPlaying,334349
72.7558219433,66,4,PLAY,StillPlaying,334349
73.5759859085,66,5,PLAY,Writing,4219897
74.7756798267,68,4,PLAY,StillPlaying,791182
76.0087759495,69,5,PLAY,Writing,1546902
76.7600038052,70,4,PLAY,StillPlaying,1546902
77.6928808689,70,5,PLAY,Writing,1546902
78.5130748749,71,6,PLAY,Writing,1546902
78.7721660137,72,5,PLAY,StillPlaying,4219897
79.7441148758,72,6,PLAY,Writing,4219897
80.6844270229,73,7,PLAY,Writing,4219897
80.7796308994,74,6,PLAY,StillPlaying,4219897
82.6320598125,75,7,PLAY,Writing,4219897
82.7585678101,76,6,PLAY,StillPlaying,4219897
84.3200378418,77,7,PLAY,Writing,4219897
84.7636480331,78,6,PLAY,StillPlaying,1546902
86.7529459,80,7,PLAY,Writing,4219897
86.7850439548,80,6,PLAY,StillPlaying,1546902
88.36398983,81,7,PLAY,Writing,4219897
88.7856688499,82,6,PLAY,StillPlaying,1546902
90.5006999969,83,7,PLAY,Writing,4219897
90.7677328587,84,6,PLAY,StillPlaying,4219897
92.6412780285,85,7,PLAY,Writing,4219897
92.759791851,86,6,PLAY,StillPlaying,4219897
94.7595770359,88,5,PLAY,StillPlaying,4219897
95.2280168533,88,6,PLAY,Writing,4219897
96.7655098438,90,5,PLAY,StillPlaying,4219897
98.7599029541,92,4,PLAY,StillPlaying,4219897
99.1319379807,92,5,PLAY,Writing,4219897
100.755694866,94,4,PLAY,StillPlaying,4219897
102.751477957,96,3,PLAY,StillPlaying,4219897
104.752902985,98,2,PLAY,StillPlaying,4219897
106.747463942,100,1,PLAY,StillPlaying,4219897
108.755353928,102,0,PLAY,StillPlaying,4219897
110.77162981,104,0,BUFFERING,Play-Buffering,0
