[2020-12-28 14:22:57]INFO:Read handle: listening to /
[2020-12-28 14:22:57]INFO:TCP insertion handle serving on ('0.0.0.0', 7376)
[2020-12-28 14:22:57]INFO:subscribing to topic: /bigbuckbunny/insert
[2020-12-28 14:23:00]INFO:subscribing to topic: /bigbuckbunny/delete
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=0
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=1
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=2
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=3
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=4
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=5
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=6
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=7
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=8
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=9
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=10
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=11
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=12
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=13
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=14
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=15
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=16
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=17
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=18
[2020-12-28 14:27:16]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=19
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/BigBuckBunny2s.mpd/seg=20
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_89283bps/bunny_89283bps_BigBuckBunny_2s_init.mp4/seg=0
[2020-12-28 14:27:17]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s1.m4s/seg=0
